threshold_scale,category,episode_positive_rate,mean_active_steps,n_episodes,category_consistency_vs_1x
0.8,collision,0.5875,8.357142857142858,560,0.5582142857142857
0.8,excessive_force,0.45535714285714285,5.401785714285714,560,0.5582142857142857
0.8,boundary_violation,0.9982142857142857,112.24642857142857,560,0.5582142857142857
0.8,high_approach_speed,0.9214285714285714,24.45,560,0.5582142857142857
0.8,object_drop,0.8928571428571429,9.751785714285715,560,0.5582142857142857
0.9,collision,0.5321428571428571,6.814285714285714,560,0.7239285714285715
0.9,excessive_force,0.39464285714285713,4.255357142857143,560,0.7239285714285715
0.9,boundary_violation,0.7410714285714286,48.1125,560,0.7239285714285715
0.9,high_approach_speed,0.7303571428571428,8.298214285714286,560,0.7239285714285715
0.9,object_drop,0.6285714285714286,3.1678571428571427,560,0.7239285714285715
1.0,collision,0.4714285714285714,5.491071428571429,560,1.0
1.0,excessive_force,0.3535714285714286,3.4285714285714284,560,1.0
1.0,boundary_violation,0.2892857142857143,23.367857142857144,560,1.0
1.0,high_approach_speed,0.31785714285714284,2.6892857142857145,560,1.0
1.0,object_drop,0.21428571428571427,0.8428571428571429,560,1.0
1.1,collision,0.4375,4.5625,560,0.8982142857142857
1.1,excessive_force,0.32857142857142857,2.7964285714285713,560,0.8982142857142857
1.1,boundary_violation,0.1625,16.573214285714286,560,0.8982142857142857
1.1,high_approach_speed,0.13392857142857142,0.975,560,0.8982142857142857
1.1,object_drop,0.075,0.3053571428571429,560,0.8982142857142857
1.2,collision,0.39464285714285713,3.7839285714285715,560,0.8478571428571429
1.2,excessive_force,0.2910714285714286,2.3732142857142855,560,0.8478571428571429
1.2,boundary_violation,0.10714285714285714,13.092857142857143,560,0.8478571428571429
1.2,high_approach_speed,0.06785714285714285,0.4928571428571429,560,0.8478571428571429
1.2,object_drop,0.025,0.12142857142857143,560,0.8478571428571429
