fold,n_train,n_test,selected_features,n_selected,fold_auroc,fold_pr_auc,method,scheme,overlap_with_submitted_top20
0,300,76,,0,0.4224376731301939,0.4588949260670938,suite_id_only,within_suite_quartile,
1,301,75,,0,0.4196301564722617,0.46496401259559156,suite_id_only,within_suite_quartile,
2,301,75,,0,0.45697012802275955,0.481146724304619,suite_id_only,within_suite_quartile,
3,301,75,,0,0.45163584637268844,0.4701419575332618,suite_id_only,within_suite_quartile,
4,301,75,,0,0.4366998577524893,0.4566619250829777,suite_id_only,within_suite_quartile,
0,300,76,,0,0.47576177285318555,0.5014302121437728,task_id_only,within_suite_quartile,
1,301,75,,0,0.6504267425320056,0.6415969727489681,task_id_only,within_suite_quartile,
2,301,75,,0,0.5825035561877667,0.5768973447719121,task_id_only,within_suite_quartile,
3,301,75,,0,0.5753911806543386,0.5719019876328273,task_id_only,within_suite_quartile,
4,301,75,,0,0.6980796586059743,0.6696246522800089,task_id_only,within_suite_quartile,
0,300,76,,0,0.7458448753462604,0.7230525250300566,instruction_id_only,within_suite_quartile,
1,301,75,,0,0.7532005689900427,0.7600248963003772,instruction_id_only,within_suite_quartile,
2,301,75,,0,0.7467994310099573,0.7510603208841327,instruction_id_only,within_suite_quartile,
3,301,75,,0,0.7937411095305833,0.7684371182764762,instruction_id_only,within_suite_quartile,
4,301,75,,0,0.7880512091038407,0.7990870913424264,instruction_id_only,within_suite_quartile,
0,300,76,,0,0.6142659279778393,0.6279645644806076,suite_task_instruction_id,within_suite_quartile,
1,301,75,,0,0.7667140825035561,0.8030434521733949,suite_task_instruction_id,within_suite_quartile,
2,301,75,,0,0.7119487908961593,0.7057028461205967,suite_task_instruction_id,within_suite_quartile,
3,301,75,,0,0.7094594594594594,0.7053179876383533,suite_task_instruction_id,within_suite_quartile,
4,301,75,,0,0.783072546230441,0.7808780448596124,suite_task_instruction_id,within_suite_quartile,
0,300,76,,0,0.9702216066481995,0.9543358797571599,motion_telemetry,within_suite_quartile,
1,301,75,,0,0.9715504978662873,0.9648665584669314,motion_telemetry,within_suite_quartile,
2,301,75,,0,0.9665718349928876,0.9591994265112996,motion_telemetry,within_suite_quartile,
3,301,75,,0,0.9409672830725462,0.936822243840052,motion_telemetry,within_suite_quartile,
4,301,75,,0,0.9715504978662873,0.9714905770273068,motion_telemetry,within_suite_quartile,
0,300,76,,0,0.9709141274238227,0.9381762704974889,motion_suite_task,within_suite_quartile,
1,301,75,,0,0.9864864864864865,0.9874282387501386,motion_suite_task,within_suite_quartile,
2,301,75,,0,0.965149359886202,0.9656790384483628,motion_suite_task,within_suite_quartile,
3,301,75,,0,0.9743954480796586,0.9701187697364126,motion_suite_task,within_suite_quartile,
4,301,75,,0,0.9836415362731152,0.984541573403086,motion_suite_task,within_suite_quartile,
0,300,76,,0,0.5394736842105263,0.5205479452054794,fixed_top20_sae,within_suite_quartile,
1,301,75,,0,0.527027027027027,0.5205479452054794,fixed_top20_sae,within_suite_quartile,
2,301,75,,0,0.5675675675675675,0.5428571428571428,fixed_top20_sae,within_suite_quartile,
3,301,75,,0,0.5526315789473684,0.5211267605633803,fixed_top20_sae,within_suite_quartile,
4,301,75,,0,0.5394736842105263,0.5138888888888888,fixed_top20_sae,within_suite_quartile,
0,300,76,,0,0.9729916897506925,0.971346603900209,full_sae,within_suite_quartile,
1,301,75,,0,0.8513513513513513,0.8596448771328022,full_sae,within_suite_quartile,
2,301,75,,0,0.8961593172119489,0.8946591736075343,full_sae,within_suite_quartile,
3,301,75,,0,0.77524893314367,0.7913747195134979,full_sae,within_suite_quartile,
4,301,75,,0,0.8826458036984353,0.883867030357369,full_sae,within_suite_quartile,
0,300,76,,0,0.976454293628809,0.9804763018117797,raw_lr,within_suite_quartile,
1,301,75,,0,0.9096728307254622,0.9125751927259277,raw_lr,within_suite_quartile,
2,301,75,,0,0.942389758179232,0.9452370052222122,raw_lr,within_suite_quartile,
3,301,75,,0,0.9125177809388337,0.9347516001344187,raw_lr,within_suite_quartile,
4,301,75,,0,0.9295874822190612,0.9440564678539907,raw_lr,within_suite_quartile,
0,300,76,"f2901,f6629,f1462,f8132,f4431,f13452,f9423,f4689,f12230,f9175,f10526,f2858,f9900,f6801,f12732,f2924,f2375,f1021,f11686,f4823",20,0.8694598337950139,0.8548031716828107,nested_top20_sae,within_suite_quartile,0.0
1,301,75,"f6629,f8132,f2901,f4689,f13452,f4431,f1462,f2375,f12230,f9900,f11915,f9175,f4823,f9423,f2858,f10526,f2924,f6043,f10083,f15020",20,0.8122332859174964,0.7884494863837154,nested_top20_sae,within_suite_quartile,0.0
2,301,75,"f2901,f6629,f13452,f1462,f8132,f6043,f12230,f4689,f9900,f9423,f12732,f6801,f1021,f4431,f11686,f10083,f16008,f2858,f9175,f4823",20,0.8669985775248934,0.8746255444032178,nested_top20_sae,within_suite_quartile,0.0
3,301,75,"f2901,f6629,f4431,f4689,f1462,f13452,f10526,f2858,f12230,f8132,f12732,f6801,f1021,f2375,f6043,f1642,f2178,f11915,f9175,f15020",20,0.8410384068278804,0.8357167658890712,nested_top20_sae,within_suite_quartile,0.0
4,301,75,"f2901,f6629,f1462,f13452,f8132,f14539,f4431,f12230,f4689,f9900,f2858,f6043,f2375,f12732,f10083,f6801,f15020,f9175,f11686,f1642",20,0.860597439544808,0.8386823883750791,nested_top20_sae,within_suite_quartile,0.0
0,300,76,,20,0.9321329639889196,0.9258531068124385,raw_pca20,within_suite_quartile,
1,301,75,,20,0.8926031294452348,0.9029184950729477,raw_pca20,within_suite_quartile,
2,301,75,,20,0.8826458036984353,0.8918921107581309,raw_pca20,within_suite_quartile,
3,301,75,,20,0.8904694167852062,0.9013235230760486,raw_pca20,within_suite_quartile,
4,301,75,,20,0.9103840682788051,0.9212392330782755,raw_pca20,within_suite_quartile,
