split,method,n,spearman_target_residual,pearson_target_residual
episode_cv,suite_only,750,0.18740155907315914,-0.027164572979490112
episode_cv,motion,750,0.20766325984579526,0.9810862971046919
episode_cv,motion_suite_task,750,0.3908674255420898,-0.7485064240411146
episode_cv,fixed_top20_sae,750,-0.018125134317448523,-0.009378770581751034
episode_cv,nested_top20_sae,750,0.03611485979184581,-0.013552725716889672
episode_cv,full_sae,750,0.3329583021480927,-0.0020272823288975308
episode_cv,raw_pca20,750,0.28792566031228495,-0.012311596752930495
task_heldout,suite_only,750,0.15258730673662896,-0.07574581402234816
task_heldout,motion,750,0.18843791011184016,0.08786603071114804
task_heldout,motion_suite_task,750,0.40354829430807876,0.1292114945655352
task_heldout,fixed_top20_sae,750,-0.05084372366196803,0.01819446774785035
task_heldout,nested_top20_sae,750,0.06900994436985702,0.023671064304830798
task_heldout,full_sae,750,0.24123936931443432,0.06276306107948368
task_heldout,raw_pca20,750,0.2599109047304972,0.04984634754563063
instruction_heldout,suite_only,750,0.15748882000886144,-0.055189064927102724
instruction_heldout,motion,750,0.17709424550088085,0.07266828786964039
instruction_heldout,motion_suite_task,750,0.37945279191607445,0.10744719228456752
instruction_heldout,fixed_top20_sae,750,0.017235888968394824,0.02481857269403452
instruction_heldout,nested_top20_sae,750,0.02584186611157757,-0.004009797662659611
instruction_heldout,full_sae,750,0.27481488144867805,0.09884453818777521
instruction_heldout,raw_pca20,750,0.26752686138108683,0.05572664429811923
