group_col,method,n_pairs,n_groups,pairwise_accuracy,ci95_low,ci95_high,mean_progress_gap,mean_score_delta_high_minus_low
task_key,full_sae_ridge,1357,42,0.8061901252763449,0.7848194546794399,0.8260869565217391,0.43537381815289955,0.19996444719542275
task_key,motion_ridge,1357,42,0.9985261606484893,0.9963154016212233,1.0,0.43537381815289955,0.25031627511486204
task_key,nested_train_top20_sae_ridge,1292,42,0.7213622291021672,0.6973684210526315,0.7453560371517027,0.43827626662196895,0.10221010400414836
task_key,raw_pca20_ridge,1357,42,0.7995578481945468,0.7781871775976419,0.8201915991156964,0.43537381815289955,0.14726038082786228
task_key,robust20_sae_ridge,1229,40,0.5842148087876322,0.5581773799837266,0.6126932465419039,0.4372229257325955,0.021627945614792254
task_key,submitted20_sae_ridge,1118,38,0.5787119856887298,0.5491949910554562,0.6091234347048301,0.43528852496114645,0.041191143165334176
instruction_key,full_sae_ridge,1411,42,0.810772501771793,0.7909107016300496,0.8306165839829908,0.42960723991721494,0.19842747873992975
instruction_key,motion_ridge,1411,42,0.9929128277817151,0.9879518072289156,0.997165131112686,0.42960723991721494,0.2521696771652795
instruction_key,nested_train_top20_sae_ridge,1346,42,0.7199108469539376,0.6961367013372957,0.7444279346210996,0.43211477025653006,0.10450329703526547
instruction_key,raw_pca20_ridge,1411,42,0.8015591778880227,0.7795889440113395,0.8214032600992204,0.42960723991721494,0.14964026833661984
instruction_key,robust20_sae_ridge,1280,40,0.5828125,0.55625,0.609375,0.4310073042419386,0.021432062005624176
instruction_key,submitted20_sae_ridge,1161,40,0.5805340223944875,0.5521102497846684,0.6098191214470284,0.42942507887390147,0.04052567525632827
