prefix_fraction,method,n,auroc,pr_auc,fpr_target,mean_realized_fpr,mean_tpr,mean_precision
0.1,robust20_sae,376,0.8130092802172929,0.8147338860002404,0.1,0.1054054054054054,0.6761024182076814,0.8761660989781607
0.1,robust20_sae,376,0.8130092802172929,0.8147338860002404,0.2,0.2330014224751067,0.7819345661450925,0.7773054873054873
0.1,motion,376,0.8391523313716615,0.819537948953782,0.1,0.12147937411095307,0.6920341394025604,0.8588278388278388
0.1,motion,376,0.8391523313716615,0.819537948953782,0.2,0.20725462304409673,0.7449502133712661,0.7852262999321823
0.1,motion_plus_robust20_sae,376,0.8574581258488003,0.8385900566007952,0.1,0.11621621621621621,0.6817923186344239,0.8637325830229056
0.1,motion_plus_robust20_sae,376,0.8574581258488003,0.8385900566007952,0.2,0.21294452347083928,0.8029871977240399,0.792148758387526
0.25,robust20_sae,376,0.8066149841557265,0.8031565386301066,0.1,0.09487908961593171,0.6708392603129445,0.8840943164781245
0.25,robust20_sae,376,0.8066149841557265,0.8031565386301066,0.2,0.21749644381223326,0.75049786628734,0.7780823865472359
0.25,motion,376,0.8677003168854686,0.8457131420570884,0.1,0.13769559032716927,0.7021337126600284,0.8426872590263199
0.25,motion,376,0.8677003168854686,0.8457131420570884,0.2,0.2177809388335704,0.8137980085348506,0.7916831948539266
0.25,motion_plus_robust20_sae,376,0.8880715255771843,0.8779612370749116,0.1,0.11635846372688478,0.7291607396870555,0.8672167359667361
0.25,motion_plus_robust20_sae,376,0.8880715255771843,0.8779612370749116,0.2,0.212375533428165,0.8298719772403983,0.7994058267314081
