episode_id,suite,label,condition,base_progress_logit,patched_progress_logit,progress_logit_delta
rollout_000331,goal,0,top20_low_samples_to_high_class_mean,-2.0591276082960484,-1.3044011063758787,0.7547265019201697
rollout_000406,spatial,0,top20_low_samples_to_high_class_mean,3.6526376140911543,4.075226177550976,0.4225885634598221
rollout_000165,goal,0,top20_low_samples_to_high_class_mean,-6.121462123001166,-4.950212247238575,1.1712498757625909
rollout_000437,long,0,top20_low_samples_to_high_class_mean,-5.606520868935397,-4.950379527561817,0.6561413413735799
rollout_000701,goal,0,top20_low_samples_to_high_class_mean,-5.128589517155964,-4.089385568341063,1.039203948814901
rollout_000656,goal,0,top20_low_samples_to_high_class_mean,-5.277210990486634,-3.7844605862248577,1.4927504042617765
rollout_000693,object,0,top20_low_samples_to_high_class_mean,2.3399749194703627,2.134415679426297,-0.20555924004406556
rollout_000627,goal,0,top20_low_samples_to_high_class_mean,-5.109784141272271,-4.289774899678656,0.8200092415936142
rollout_000527,object,0,top20_low_samples_to_high_class_mean,-1.859021424937217,-1.6628457828323264,0.19617564210489058
rollout_000003,goal,0,top20_low_samples_to_high_class_mean,-6.262614763564157,-5.3763072824259215,0.8863074811382354
rollout_000646,goal,0,top20_low_samples_to_high_class_mean,-4.841991198436483,-3.304552127423502,1.5374390710129813
rollout_000095,goal,0,top20_low_samples_to_high_class_mean,-4.802985434227434,-4.115336050390366,0.6876493838370683
rollout_000427,goal,0,top20_low_samples_to_high_class_mean,-2.9675778337308203,-2.344623702006062,0.6229541317247582
rollout_000687,goal,0,top20_low_samples_to_high_class_mean,-7.425179097687582,-6.543619794593369,0.881559303094213
rollout_000062,goal,0,top20_low_samples_to_high_class_mean,1.0416070698525204,1.6623238399650802,0.6207167701125598
rollout_000195,goal,0,top20_low_samples_to_high_class_mean,-4.7763387942437046,-4.056520578331249,0.719818215912456
rollout_000669,goal,0,top20_low_samples_to_high_class_mean,-5.301207489041554,-4.220561231271075,1.0806462577704785
rollout_000697,goal,0,top20_low_samples_to_high_class_mean,-2.4501006100655762,-1.7964984511745583,0.6536021588910179
rollout_000155,long,0,top20_low_samples_to_high_class_mean,-8.496213481051392,-8.097468429474045,0.39874505157734674
rollout_000716,long,0,top20_low_samples_to_high_class_mean,2.7387217808730147,3.1717242502904974,0.43300246941748277
rollout_000387,goal,0,top20_low_samples_to_high_class_mean,-6.116574271501685,-5.077673617900079,1.0389006536016057
rollout_000246,goal,0,top20_low_samples_to_high_class_mean,-4.33230364225185,-3.4050698707575116,0.9272337714943388
rollout_000359,goal,0,top20_low_samples_to_high_class_mean,-5.310079622678395,-4.3694655635772675,0.9406140591011276
rollout_000030,goal,0,top20_low_samples_to_high_class_mean,-5.352361411391991,-4.735518258828597,0.6168431525633942
rollout_000289,goal,0,top20_low_samples_to_high_class_mean,-6.189612398602158,-5.480445123257122,0.7091672753450355
rollout_000339,goal,0,top20_low_samples_to_high_class_mean,-4.337785575861018,-3.4128977537719387,0.924887822089079
rollout_000530,goal,0,top20_low_samples_to_high_class_mean,-6.826875988880573,-5.927128831081193,0.8997471577993803
rollout_000202,spatial,0,top20_low_samples_to_high_class_mean,-1.7923659794168043,-1.3463236231753715,0.44604235624143285
rollout_000215,long,0,top20_low_samples_to_high_class_mean,7.558027717153247,7.980616280613067,0.4225885634598203
rollout_000487,long,0,top20_low_samples_to_high_class_mean,6.066346842041177,6.488935405500997,0.4225885634598203
rollout_000366,long,0,top20_low_samples_to_high_class_mean,0.6874678289483002,1.1235778423482292,0.43611001339992905
rollout_000738,goal,0,top20_low_samples_to_high_class_mean,-6.9285673086632045,-5.397962768036727,1.5306045406264772
rollout_000269,goal,0,top20_low_samples_to_high_class_mean,-6.421336011247947,-5.601758705048683,0.8195773061992639
rollout_000362,goal,0,top20_low_samples_to_high_class_mean,-5.53652547679534,-4.6775052790672635,0.8590201977280767
rollout_000667,goal,0,top20_low_samples_to_high_class_mean,-5.14604575355596,-4.107652222595516,1.0383935309604437
rollout_000198,goal,0,top20_low_samples_to_high_class_mean,-6.1752129742268345,-5.271998060440299,0.9032149137865355
rollout_000416,goal,0,top20_low_samples_to_high_class_mean,-4.9129669625086345,-4.285033951780962,0.6279330107276726
rollout_000686,object,0,top20_low_samples_to_high_class_mean,4.104762416813128,4.1611487894152335,0.05638637260210544
rollout_000360,long,0,top20_low_samples_to_high_class_mean,-4.665798150010274,-4.4789630711798765,0.18683507883039763
rollout_000256,goal,0,top20_low_samples_to_high_class_mean,-6.962906994911286,-5.737698333350558,1.2252086615607283
rollout_000055,goal,0,top20_low_samples_to_high_class_mean,-6.326399311559648,-4.736234725209366,1.5901645863502818
rollout_000307,long,0,top20_low_samples_to_high_class_mean,-1.6621050254869787,-1.1512431511458785,0.5108618743411002
rollout_000079,goal,0,top20_low_samples_to_high_class_mean,-5.6259736243058125,-4.553491446561957,1.0724821777438551
rollout_000711,object,0,top20_low_samples_to_high_class_mean,1.0434609748970294,0.9629595198743698,-0.0805014550226596
rollout_000668,goal,0,top20_low_samples_to_high_class_mean,-4.616544056562224,-3.522600894732155,1.0939431618300692
rollout_000296,long,0,top20_low_samples_to_high_class_mean,-3.24296666126044,-2.671980473625189,0.5709861876352513
rollout_000526,goal,0,top20_low_samples_to_high_class_mean,-5.9732642096345625,-4.6493406741912064,1.323923535443356
rollout_000535,object,0,top20_low_samples_to_high_class_mean,3.568478257112099,3.682527360620508,0.11404910350840902
rollout_000463,goal,0,top20_low_samples_to_high_class_mean,-5.297198384615925,-4.157739753866459,1.1394586307494654
rollout_000099,long,0,top20_low_samples_to_high_class_mean,-5.652854617877663,-5.16683030095991,0.48602431691775294
rollout_000409,goal,0,top20_low_samples_to_high_class_mean,-5.869448389245732,-4.220051835019109,1.6493965542266231
rollout_000630,goal,0,top20_low_samples_to_high_class_mean,-5.397609223765176,-4.666004536783468,0.7316046869817079
rollout_000029,goal,0,top20_low_samples_to_high_class_mean,-6.465190696265485,-5.620283256205779,0.8449074400597061
rollout_000650,goal,0,top20_low_samples_to_high_class_mean,-4.967337603172536,-3.703783913179297,1.2635536899932385
rollout_000236,spatial,0,top20_low_samples_to_high_class_mean,-0.828915578434792,-0.4063270149749719,0.4225885634598201
rollout_000368,long,0,top20_low_samples_to_high_class_mean,9.935640793924911,10.35822935738473,0.42258856345981854
rollout_000228,long,0,top20_low_samples_to_high_class_mean,1.7079929353204721,2.130581498780293,0.42258856345982077
